[942246]: 930ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:671 CSpxAudioStreamSession::AddRecognizer
[942246]: 930ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=00000247A8C7B5C8; name='UnsupportedV2ServiceProperties'; value=''
[942246]: 930ms SPX_TRACE_INFO:  handle_table.h:319 Creating handle table counter for type id=733483882, name=ISpxRecognizer in manager 00000247A85BB5D0
[942246]: 930ms SPX_TRACE_FUNCTION:  handle_table.h:331 CSpxSharedPtrHandleTableManager::CreateHandleTable
[942246]: 930ms SPX_TRACE_INFO:  handle_table.h:38 Creating handle table counter for type id=733483882, name=ISpxRecognizer
[942246]: 930ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x00000247A8C7B010
[942246]: 931ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxRecognizer, h=0x00000247A8C7B010, p=0x00000247A8C7B010, tot=1
[942246]: 931ms SPX_DBG_TRACE_SCOPE_EXIT:  speechapi_c_factory.cpp:160 recognizer_create_speech_recognizer_from_config
[942246]: 931ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x00000247A8C7B5C8
[942246]: 931ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x00000247A8C7B5C8, p=0x00000247A8C7B5C8, tot=3
[942246]: 931ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=00000247A8C7B5C8; name='SPEECH-RecoMode'; value='DICTATION'
[942246]: 931ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:1068 CSpxAudioStreamSession::StartRecognitionAsync
[942246]: 931ms SPX_TRACE_INFO:  handle_table.h:319 Creating handle table counter for type id=344199466, name=CSpxAsyncOp<void> in manager 00000247A85BB5D0
[942246]: 931ms SPX_TRACE_FUNCTION:  handle_table.h:331 CSpxSharedPtrHandleTableManager::CreateHandleTable
[942246]: 931ms SPX_TRACE_INFO:  handle_table.h:38 Creating handle table counter for type id=344199466, name=CSpxAsyncOp<void>
[942246]: 931ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x00000247A8CC5F20
[943110]: 931ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1071 *** CSpxAudioStreamSession::StartRecognitionAsync kicked-off THREAD started ***
[942246]: 931ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=CSpxAsyncOp<void>, h=0x00000247A8CC5F20, p=0x00000247A8CC5F20, tot=1
[943110]: 931ms SPX_TRACE_INFO:  thread_service.cpp:96 Started thread Background with ID [817010]
[817010]: 931ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1128 CSpxAudioStreamSession::StartRecognizing
[817010]: 931ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1129 [00000247A8AE5840]CSpxAudioStreamSession::StartRecognizing
[817010]: 931ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3430 [00000247A8AE5840]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 0/0 => 4/1
[817010]: 931ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1171 [00000247A8AE5840]CSpxAudioStreamSession::StartRecognizing:  Now WaitForPumpSetFormatStart ...
[817010]: 931ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3011 CSpxAudioStreamSession::StartAudioPump
[817010]: 931ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3012 [00000247A8AE5840]CSpxAudioStreamSession::StartAudioPump:  RecognitionKind 4 | m_audioPump [00000247A871B4E0]
[817010]: 931ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1398 [00000247A8AE5840]CSpxAudioStreamSession::FireSessionStartedEvent: ...
[817010]: 931ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1409 [00000247A8AE5840]CSpxAudioStreamSession::FireSessionStartedEvent: Firing SessionStarted event: SessionId: 9b980b07f42545d8b8fb20d308695d3f
[817010]: 931ms SPX_TRACE_INFO:  thread_service.cpp:96 Started thread User with ID [425268]
[817010]: 931ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=00000247A8AE5928; name='SPEECH-SegmentationMaximumTimeMs'; value='0'
[817010]: 931ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=00000247A8AE5928; name='SPEECH-MaxBufferSizeMs'; value='66000'
[817010]: 931ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=00000247A8AE5928; name='SPEECH-BufferSizePercentSwitchToLowRate'; value='50'
[817010]: 931ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=00000247A8AE5928; name='SPEECH-BufferSizePercentSwitchToHighRate'; value='9'
[817010]: 931ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:106 [00000247A8CB5990] Is VAD Gating = 0, Is RNNT reco engine = 0, Is conversation transcriber = 0, Is meeting transcriber = 0, Is async transcriber  = 0, fastLane = 5000 msec (160000 bytes), maxDuration = 66000 msec, highDuration = 33000 msec, lowDuration = 5940 msec, lowRate = 100%, highRate = 200%
[817010]: 931ms SPX_DBG_TRACE_FUNCTION:  audio_buffer.cpp:92 PcmAudioBuffer::NewTurn
[817010]: 932ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxPropertyBagImpl::SetStringValue: this=00000247A8AE5928; name='IsKeywordAndSpeechRecognizer'; value='false'
[817010]: 932ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2697 CSpxAudioStreamSession::EnsureInitRecoEngineAdapter
[817010]: 932ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:2701 CSpxAudioStreamSession::EnsureInitRecoEngineAdapter EnsureResetEngineEngineAdapterComplete
[817010]: 932ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2806 CSpxAudioStreamSession::EnsureResetEngineEngineAdapterComplete
[817010]: 932ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2725 CSpxAudioStreamSession::InitRecoEngineAdapter
[817010]: 932ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxUspRecoEngineAdapterRetry_OffsetFixupWrapper' as '806006714'
[817010]: 932ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3098 [00000247A8AE5840]CSpxAudioStreamSession::StartAudioPump: Starting pump[00000247A871B4E0]...
[817010]: 932ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxBufferData' as '705421989'
[817010]: 932ms SPX_TRACE_VERBOSE:  buffer_data.cpp:118 [00000247A57EACE0]CSpxBufferData::EnsureInitRingBuffer - Init
[817010]: 932ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxBlockingReadWriteRingBuffer' as '956428994'
[817010]: 932ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=00000247A8AE5928; name='AudioConfig_NumberOfChannelsForCapture'; value='1'
[817010]: 932ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=00000247A8AE5928; name='AudioConfig_SampleRateForCapture'; value='16000'
[425268]: 932ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1692 DispatchEvent task started...
[817010]: 932ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=00000247A8AE5928; name='AudioConfig_BitsPerSampleForCapture'; value='16'
[817010]: 932ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxAudioProcessorWriteToAudioSourceBuffer' as '354155511'
[425268]: 932ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxSessionEventArgs' as '418547108'
[817010]: 932ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:111 [00000247A8BCAF00]CSpxAudioPump::StartPump():
[425268]: 932ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1692 DispatchEvent task complete!
[817010]: 932ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:534 [00000247A8BCAF00]CSpxAudioPump::WaitForPumpStart() ... pre m_cv.wait_for()
[594642]: 932ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_pump.cpp:173 *** AudioPump THREAD started! ***
[594642]: 932ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:176 [00000247A8BCAF00]CSpxAudioPump::PumpThread(): getting format from reader... 
[594642]: 932ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:186 CSpxAudioPump::PumpThread(): setting format on processor...
[594642]: 932ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:208 [00000247A8BCAF00]CSpxAudioPump::PumpThread(): allocating our first buffer
[594642]: 932ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:287 [00000247A8BCAF00]CSpxAudioPump::PumpThread(): Starting loop ... => frame size: 3200 | wFormatTag: 'PCM'| nChannels: 1 | nSamplesPerSec:  16000 | nAvgBytesPerSec: 32000 | nBlockAlign: 2 | wBitsPerSample: 16 | cbSize: 0 
