[449658]: 1021ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:671 CSpxAudioStreamSession::AddRecognizer
[449658]: 1021ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=000001304A7E7408; name='UnsupportedV2ServiceProperties'; value=''
[449658]: 1021ms SPX_TRACE_INFO:  handle_table.h:319 Creating handle table counter for type id=733483882, name=ISpxRecognizer in manager 0000013050582D90
[449658]: 1021ms SPX_TRACE_FUNCTION:  handle_table.h:331 CSpxSharedPtrHandleTableManager::CreateHandleTable
[449658]: 1021ms SPX_TRACE_INFO:  handle_table.h:38 Creating handle table counter for type id=733483882, name=ISpxRecognizer
[449658]: 1021ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x000001304A7E6E50
[449658]: 1021ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxRecognizer, h=0x000001304A7E6E50, p=0x000001304A7E6E50, tot=1
[449658]: 1021ms SPX_DBG_TRACE_SCOPE_EXIT:  speechapi_c_factory.cpp:160 recognizer_create_speech_recognizer_from_config
[449658]: 1021ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x000001304A7E7408
[449658]: 1021ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x000001304A7E7408, p=0x000001304A7E7408, tot=3
[449658]: 1022ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=000001304A7E7408; name='SPEECH-RecoMode'; value='DICTATION'
[449658]: 1022ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:1068 CSpxAudioStreamSession::StartRecognitionAsync
[449658]: 1022ms SPX_TRACE_INFO:  handle_table.h:319 Creating handle table counter for type id=344199466, name=CSpxAsyncOp<void> in manager 0000013050582D90
[449658]: 1022ms SPX_TRACE_FUNCTION:  handle_table.h:331 CSpxSharedPtrHandleTableManager::CreateHandleTable
[449658]: 1022ms SPX_TRACE_INFO:  handle_table.h:38 Creating handle table counter for type id=344199466, name=CSpxAsyncOp<void>
[449658]: 1022ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0000013050BBDE20
[449658]: 1022ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=CSpxAsyncOp<void>, h=0x0000013050BBDE20, p=0x0000013050BBDE20, tot=1
[36393]: 1022ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1071 *** CSpxAudioStreamSession::StartRecognitionAsync kicked-off THREAD started ***
[36393]: 1022ms SPX_TRACE_INFO:  thread_service.cpp:96 Started thread Background with ID [854944]
[854944]: 1022ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1128 CSpxAudioStreamSession::StartRecognizing
[854944]: 1022ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1129 [0000013050A7E7C0]CSpxAudioStreamSession::StartRecognizing
[854944]: 1022ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3430 [0000013050A7E7C0]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 0/0 => 4/1
[854944]: 1022ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1171 [0000013050A7E7C0]CSpxAudioStreamSession::StartRecognizing:  Now WaitForPumpSetFormatStart ...
[854944]: 1022ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3011 CSpxAudioStreamSession::StartAudioPump
[854944]: 1022ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3012 [0000013050A7E7C0]CSpxAudioStreamSession::StartAudioPump:  RecognitionKind 4 | m_audioPump [000001305088EFC0]
[854944]: 1022ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1398 [0000013050A7E7C0]CSpxAudioStreamSession::FireSessionStartedEvent: ...
[854944]: 1022ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1409 [0000013050A7E7C0]CSpxAudioStreamSession::FireSessionStartedEvent: Firing SessionStarted event: SessionId: 04e98f22bdd04a919f1ff74c789fddcf
[854944]: 1022ms SPX_TRACE_INFO:  thread_service.cpp:96 Started thread User with ID [217337]
[854944]: 1022ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=0000013050A7E8A8; name='SPEECH-SegmentationMaximumTimeMs'; value='0'
[854944]: 1022ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=0000013050A7E8A8; name='SPEECH-MaxBufferSizeMs'; value='66000'
[854944]: 1022ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=0000013050A7E8A8; name='SPEECH-BufferSizePercentSwitchToLowRate'; value='50'
[854944]: 1022ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=0000013050A7E8A8; name='SPEECH-BufferSizePercentSwitchToHighRate'; value='9'
[854944]: 1022ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:106 [0000013050BCB310] Is VAD Gating = 0, Is RNNT reco engine = 0, Is conversation transcriber = 0, Is meeting transcriber = 0, Is async transcriber  = 0, fastLane = 5000 msec (160000 bytes), maxDuration = 66000 msec, highDuration = 33000 msec, lowDuration = 5940 msec, lowRate = 100%, highRate = 200%
[217337]: 1022ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1692 DispatchEvent task started...
[854944]: 1022ms SPX_DBG_TRACE_FUNCTION:  audio_buffer.cpp:92 PcmAudioBuffer::NewTurn
[854944]: 1022ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxPropertyBagImpl::SetStringValue: this=0000013050A7E8A8; name='IsKeywordAndSpeechRecognizer'; value='false'
[217337]: 1022ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxSessionEventArgs' as '418547108'
[854944]: 1022ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2697 CSpxAudioStreamSession::EnsureInitRecoEngineAdapter
[854944]: 1022ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:2701 CSpxAudioStreamSession::EnsureInitRecoEngineAdapter EnsureResetEngineEngineAdapterComplete
[854944]: 1022ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2806 CSpxAudioStreamSession::EnsureResetEngineEngineAdapterComplete
[217337]: 1022ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1692 DispatchEvent task complete!
[854944]: 1022ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2725 CSpxAudioStreamSession::InitRecoEngineAdapter
[854944]: 1022ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxUspRecoEngineAdapterRetry_OffsetFixupWrapper' as '806006714'
[854944]: 1022ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3098 [0000013050A7E7C0]CSpxAudioStreamSession::StartAudioPump: Starting pump[000001305088EFC0]...
[854944]: 1022ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxBufferData' as '705421989'
[854944]: 1022ms SPX_TRACE_VERBOSE:  buffer_data.cpp:118 [0000013050BF1860]CSpxBufferData::EnsureInitRingBuffer - Init
[854944]: 1022ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxBlockingReadWriteRingBuffer' as '956428994'
[854944]: 1022ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=0000013050A7E8A8; name='AudioConfig_NumberOfChannelsForCapture'; value='1'
[854944]: 1022ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=0000013050A7E8A8; name='AudioConfig_SampleRateForCapture'; value='16000'
[854944]: 1022ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=0000013050A7E8A8; name='AudioConfig_BitsPerSampleForCapture'; value='16'
[854944]: 1022ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxAudioProcessorWriteToAudioSourceBuffer' as '354155511'
[854944]: 1022ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:111 [0000013050AE0BE0]CSpxAudioPump::StartPump():
[854944]: 1022ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:534 [0000013050AE0BE0]CSpxAudioPump::WaitForPumpStart() ... pre m_cv.wait_for()
[705371]: 1023ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_pump.cpp:173 *** AudioPump THREAD started! ***
[705371]: 1023ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:176 [0000013050AE0BE0]CSpxAudioPump::PumpThread(): getting format from reader... 
[705371]: 1023ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:186 CSpxAudioPump::PumpThread(): setting format on processor...
[705371]: 1023ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:208 [0000013050AE0BE0]CSpxAudioPump::PumpThread(): allocating our first buffer
[705371]: 1023ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:287 [0000013050AE0BE0]CSpxAudioPump::PumpThread(): Starting loop ... => frame size: 3200 | wFormatTag: 'PCM'| nChannels: 1 | nSamplesPerSec:  16000 | nAvgBytesPerSec: 32000 | nBlockAlign: 2 | wBitsPerSample: 16 | cbSize: 0 
[705371]: 1023ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:252 [0000013050AE0BE0]CSpxAudioPump::PumpThread(), checkAndChangeState: changing states as requested: 'Idle' => 'Processing'
[705371]: 1023ms SPX_TRACE_INFO:  wav_file_reader.cpp:256 AUDIO Data Chunk @78 length=9522040
[705371]: 1023ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:464 [0000013050AE0BE0]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[854944]: 1023ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:540 [0000013050AE0BE0]CSpxAudioPump::WaitForPumpStart() ... post m_cv.wait_for(); state='Processing' (requestedState='Processing')
[705371]: 1023ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxBufferProperties' as '809583448'
[854944]: 1023ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:3011 CSpxAudioStreamSession::StartAudioPump
[854944]: 1023ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1128 CSpxAudioStreamSession::StartRecognizing
[854944]: 1023ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:403 [0000013050A7E7C0]CSpxAudioStreamSession::SetFormat: format != nullptr
[705371]: 1023ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxReadWriteRingBuffer' as '956428994'
[854944]: 1023ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3430 [0000013050A7E7C0]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 4/1 => 4/2
[854944]: 1023ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:408 [0000013050A7E7C0]CSpxAudioStreamSession::SetFormat: Now ProcessingAudio ...
[854944]: 1023ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3243 CSpxAudioStreamSession::InformAdapterSetFormatStarting
[705371]: 1023ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxReadWriteRingBuffer' as '956428994'
[854944]: 1023ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxUspRecoEngineAdapterRetry' as '806006714'
[36393]: 1023ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1071 *** CSpxAudioStreamSession::StartRecognitionAsync kicked-off THREAD stopped ***
[705371]: 1023ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:483 Received audio chunk: time: 2026-03-10T03:37:42.4966719Z, size:3200.
[705371]: 1023ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:497 CSpxAudioStreamSession::ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[705371]: 1023ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:167 [0000013050BCB310] m_bytesTransited = 3200, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[854944]: 1023ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter_retry.cpp:22 CSpxUspRecoEngineAdapterRetry::InitDelegatePtr
[705371]: 1023ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:464 [0000013050AE0BE0]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[854944]: 1023ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter.cpp:49 CSpxUspRecoEngineAdapter::CSpxUspRecoEngineAdapter
[705371]: 1023ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:483 Received audio chunk: time: 2026-03-10T03:37:42.4967378Z, size:3200.
[854944]: 1023ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:50 CSpxUspRecoEngineAdapter::CSpxUspRecoEngineAdapter: this=0x000001305093CF70
[705371]: 1023ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:497 CSpxAudioStreamSession::ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[449658]: 1023ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:193 CSpxHandleTable::StopTracking(h) h=0x0000013050BBDE20
[854944]: 1023ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter.cpp:49 CSpxUspRecoEngineAdapter::CSpxUspRecoEngineAdapter
[705371]: 1023ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:167 [0000013050BCB310] m_bytesTransited = 6400, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[449658]: 1023ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:208 CSpxHandleTable::StopTracking(h) class=CSpxAsyncOp<void>, h=0x0000013050BBDE20, p=0x0000013050BBDE20, tot=0
[854944]: 1023ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxUspRecoEngineAdapter' as '806006714'
[854944]: 1023ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter.cpp:63 CSpxUspRecoEngineAdapter::Init
[854944]: 1023ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:64 CSpxUspRecoEngineAdapter::Init: this=0x000001305093CF70
[705371]: 1023ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:464 [0000013050AE0BE0]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[854944]: 1023ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=000001305093CFE0; name='CARBON-INTERNAL-DumpAudioToDir'; value=''
[854944]: 1023ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter.cpp:63 CSpxUspRecoEngineAdapter::Init
[854944]: 1023ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter_retry.cpp:22 CSpxUspRecoEngineAdapterRetry::InitDelegatePtr
[705371]: 1023ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:483 Received audio chunk: time: 2026-03-10T03:37:42.4968114Z, size:3200.
