[347138]: 860ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:671 CSpxAudioStreamSession::AddRecognizer
[347138]: 860ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=00000242DFCD0D68; name='UnsupportedV2ServiceProperties'; value=''
[347138]: 860ms SPX_TRACE_INFO:  handle_table.h:319 Creating handle table counter for type id=733483882, name=ISpxRecognizer in manager 00000242DC5C3EA0
[347138]: 860ms SPX_TRACE_FUNCTION:  handle_table.h:331 CSpxSharedPtrHandleTableManager::CreateHandleTable
[347138]: 860ms SPX_TRACE_INFO:  handle_table.h:38 Creating handle table counter for type id=733483882, name=ISpxRecognizer
[347138]: 860ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x00000242DFCD07B0
[347138]: 866ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxRecognizer, h=0x00000242DFCD07B0, p=0x00000242DFCD07B0, tot=1
[347138]: 866ms SPX_DBG_TRACE_SCOPE_EXIT:  speechapi_c_factory.cpp:160 recognizer_create_speech_recognizer_from_config
[347138]: 866ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x00000242DFCD0D68
[347138]: 866ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x00000242DFCD0D68, p=0x00000242DFCD0D68, tot=3
[347138]: 866ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=00000242DFCD0D68; name='SPEECH-RecoMode'; value='DICTATION'
[347138]: 866ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:1068 CSpxAudioStreamSession::StartRecognitionAsync
[347138]: 866ms SPX_TRACE_INFO:  handle_table.h:319 Creating handle table counter for type id=344199466, name=CSpxAsyncOp<void> in manager 00000242DC5C3EA0
[347138]: 866ms SPX_TRACE_FUNCTION:  handle_table.h:331 CSpxSharedPtrHandleTableManager::CreateHandleTable
[347138]: 866ms SPX_TRACE_INFO:  handle_table.h:38 Creating handle table counter for type id=344199466, name=CSpxAsyncOp<void>
[347138]: 866ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x00000242DFE2BD30
[347138]: 866ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=CSpxAsyncOp<void>, h=0x00000242DFE2BD30, p=0x00000242DFE2BD30, tot=1
[125516]: 866ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1071 *** CSpxAudioStreamSession::StartRecognitionAsync kicked-off THREAD started ***
[125516]: 866ms SPX_TRACE_INFO:  thread_service.cpp:96 Started thread Background with ID [253437]
[253437]: 866ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1128 CSpxAudioStreamSession::StartRecognizing
[253437]: 866ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1129 [00000242DFCD0030]CSpxAudioStreamSession::StartRecognizing
[253437]: 866ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3430 [00000242DFCD0030]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 0/0 => 4/1
[253437]: 866ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1171 [00000242DFCD0030]CSpxAudioStreamSession::StartRecognizing:  Now WaitForPumpSetFormatStart ...
[253437]: 866ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3011 CSpxAudioStreamSession::StartAudioPump
[253437]: 866ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3012 [00000242DFCD0030]CSpxAudioStreamSession::StartAudioPump:  RecognitionKind 4 | m_audioPump [00000242DFAAB800]
[253437]: 866ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1398 [00000242DFCD0030]CSpxAudioStreamSession::FireSessionStartedEvent: ...
[253437]: 866ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1409 [00000242DFCD0030]CSpxAudioStreamSession::FireSessionStartedEvent: Firing SessionStarted event: SessionId: 94cb937294ef42ea898640c52dcd0320
