[81078]: 979ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:671 CSpxAudioStreamSession::AddRecognizer
[81078]: 979ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=0000022292564648; name='UnsupportedV2ServiceProperties'; value=''
[81078]: 980ms SPX_TRACE_INFO:  handle_table.h:319 Creating handle table counter for type id=733483882, name=ISpxRecognizer in manager 0000022291FA90E0
[81078]: 980ms SPX_TRACE_FUNCTION:  handle_table.h:331 CSpxSharedPtrHandleTableManager::CreateHandleTable
[81078]: 980ms SPX_TRACE_INFO:  handle_table.h:38 Creating handle table counter for type id=733483882, name=ISpxRecognizer
[81078]: 980ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0000022292564090
[81078]: 981ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxRecognizer, h=0x0000022292564090, p=0x0000022292564090, tot=1
[81078]: 981ms SPX_DBG_TRACE_SCOPE_EXIT:  speechapi_c_factory.cpp:160 recognizer_create_speech_recognizer_from_config
[81078]: 981ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0000022292564648
[81078]: 981ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x0000022292564648, p=0x0000022292564648, tot=3
[81078]: 981ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=0000022292564648; name='SPEECH-RecoMode'; value='DICTATION'
[81078]: 981ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:1068 CSpxAudioStreamSession::StartRecognitionAsync
[81078]: 981ms SPX_TRACE_INFO:  handle_table.h:319 Creating handle table counter for type id=344199466, name=CSpxAsyncOp<void> in manager 0000022291FA90E0
[81078]: 981ms SPX_TRACE_FUNCTION:  handle_table.h:331 CSpxSharedPtrHandleTableManager::CreateHandleTable
[81078]: 981ms SPX_TRACE_INFO:  handle_table.h:38 Creating handle table counter for type id=344199466, name=CSpxAsyncOp<void>
[81078]: 981ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0000022292517E20
[81078]: 981ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=CSpxAsyncOp<void>, h=0x0000022292517E20, p=0x0000022292517E20, tot=1
[300214]: 981ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1071 *** CSpxAudioStreamSession::StartRecognitionAsync kicked-off THREAD started ***
[300214]: 981ms SPX_TRACE_INFO:  thread_service.cpp:96 Started thread Background with ID [730255]
[730255]: 982ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1128 CSpxAudioStreamSession::StartRecognizing
[730255]: 982ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1129 [0000022292461250]CSpxAudioStreamSession::StartRecognizing
[730255]: 982ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3430 [0000022292461250]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 0/0 => 4/1
[730255]: 982ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1171 [0000022292461250]CSpxAudioStreamSession::StartRecognizing:  Now WaitForPumpSetFormatStart ...
[730255]: 982ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3011 CSpxAudioStreamSession::StartAudioPump
[730255]: 982ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3012 [0000022292461250]CSpxAudioStreamSession::StartAudioPump:  RecognitionKind 4 | m_audioPump [000002229237A8E0]
[730255]: 982ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1398 [0000022292461250]CSpxAudioStreamSession::FireSessionStartedEvent: ...
[730255]: 982ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1409 [0000022292461250]CSpxAudioStreamSession::FireSessionStartedEvent: Firing SessionStarted event: SessionId: c211b62183ce4a6fbc7cac2eaae1f8c3
[730255]: 982ms SPX_TRACE_INFO:  thread_service.cpp:96 Started thread User with ID [770010]
[730255]: 982ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=0000022292461338; name='SPEECH-SegmentationMaximumTimeMs'; value='0'
[730255]: 982ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=0000022292461338; name='SPEECH-MaxBufferSizeMs'; value='66000'
[730255]: 982ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=0000022292461338; name='SPEECH-BufferSizePercentSwitchToLowRate'; value='50'
[730255]: 982ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=0000022292461338; name='SPEECH-BufferSizePercentSwitchToHighRate'; value='9'
[730255]: 982ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:106 [00000222923B7CA0] Is VAD Gating = 0, Is RNNT reco engine = 0, Is conversation transcriber = 0, Is meeting transcriber = 0, Is async transcriber  = 0, fastLane = 5000 msec (160000 bytes), maxDuration = 66000 msec, highDuration = 33000 msec, lowDuration = 5940 msec, lowRate = 100%, highRate = 200%
[730255]: 982ms SPX_DBG_TRACE_FUNCTION:  audio_buffer.cpp:92 PcmAudioBuffer::NewTurn
[730255]: 982ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxPropertyBagImpl::SetStringValue: this=0000022292461338; name='IsKeywordAndSpeechRecognizer'; value='false'
[730255]: 982ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2697 CSpxAudioStreamSession::EnsureInitRecoEngineAdapter
[730255]: 982ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:2701 CSpxAudioStreamSession::EnsureInitRecoEngineAdapter EnsureResetEngineEngineAdapterComplete
[730255]: 982ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2806 CSpxAudioStreamSession::EnsureResetEngineEngineAdapterComplete
[730255]: 982ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2725 CSpxAudioStreamSession::InitRecoEngineAdapter
[730255]: 982ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxUspRecoEngineAdapterRetry_OffsetFixupWrapper' as '806006714'
[730255]: 982ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3098 [0000022292461250]CSpxAudioStreamSession::StartAudioPump: Starting pump[000002229237A8E0]...
[730255]: 982ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxBufferData' as '705421989'
[730255]: 982ms SPX_TRACE_VERBOSE:  buffer_data.cpp:118 [000002229239DFC0]CSpxBufferData::EnsureInitRingBuffer - Init
[770010]: 982ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1692 DispatchEvent task started...
[730255]: 982ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxBlockingReadWriteRingBuffer' as '956428994'
[730255]: 983ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=0000022292461338; name='AudioConfig_NumberOfChannelsForCapture'; value='1'
[770010]: 983ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxSessionEventArgs' as '418547108'
[730255]: 983ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=0000022292461338; name='AudioConfig_SampleRateForCapture'; value='16000'
[770010]: 983ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1692 DispatchEvent task complete!
[730255]: 983ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=0000022292461338; name='AudioConfig_BitsPerSampleForCapture'; value='16'
[730255]: 983ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxAudioProcessorWriteToAudioSourceBuffer' as '354155511'
[730255]: 983ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:111 [00000222924F5DA0]CSpxAudioPump::StartPump():
[730255]: 983ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:534 [00000222924F5DA0]CSpxAudioPump::WaitForPumpStart() ... pre m_cv.wait_for()
[12949]: 983ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_pump.cpp:173 *** AudioPump THREAD started! ***
[12949]: 983ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:176 [00000222924F5DA0]CSpxAudioPump::PumpThread(): getting format from reader... 
[12949]: 983ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:186 CSpxAudioPump::PumpThread(): setting format on processor...
[12949]: 983ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:208 [00000222924F5DA0]CSpxAudioPump::PumpThread(): allocating our first buffer
[12949]: 983ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:287 [00000222924F5DA0]CSpxAudioPump::PumpThread(): Starting loop ... => frame size: 3200 | wFormatTag: 'PCM'| nChannels: 1 | nSamplesPerSec:  16000 | nAvgBytesPerSec: 32000 | nBlockAlign: 2 | wBitsPerSample: 16 | cbSize: 0 
[12949]: 983ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:252 [00000222924F5DA0]CSpxAudioPump::PumpThread(), checkAndChangeState: changing states as requested: 'Idle' => 'Processing'
[12949]: 983ms SPX_TRACE_INFO:  wav_file_reader.cpp:256 AUDIO Data Chunk @158 length=9175040
[730255]: 983ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:540 [00000222924F5DA0]CSpxAudioPump::WaitForPumpStart() ... post m_cv.wait_for(); state='Processing' (requestedState='Processing')
[12949]: 983ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:464 [00000222924F5DA0]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[730255]: 983ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:3011 CSpxAudioStreamSession::StartAudioPump
[12949]: 983ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxBufferProperties' as '809583448'
[730255]: 983ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1128 CSpxAudioStreamSession::StartRecognizing
[730255]: 983ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:403 [0000022292461250]CSpxAudioStreamSession::SetFormat: format != nullptr
[12949]: 983ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxReadWriteRingBuffer' as '956428994'
[730255]: 983ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3430 [0000022292461250]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 4/1 => 4/2
[730255]: 983ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:408 [0000022292461250]CSpxAudioStreamSession::SetFormat: Now ProcessingAudio ...
[12949]: 983ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxReadWriteRingBuffer' as '956428994'
[730255]: 983ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3243 CSpxAudioStreamSession::InformAdapterSetFormatStarting
[730255]: 983ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxUspRecoEngineAdapterRetry' as '806006714'
[300214]: 983ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1071 *** CSpxAudioStreamSession::StartRecognitionAsync kicked-off THREAD stopped ***
[12949]: 983ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:483 Received audio chunk: time: 2026-03-31T00:57:09.8675079Z, size:3200.
[730255]: 983ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter_retry.cpp:22 CSpxUspRecoEngineAdapterRetry::InitDelegatePtr
[12949]: 983ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:497 CSpxAudioStreamSession::ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[12949]: 983ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:167 [00000222923B7CA0] m_bytesTransited = 3200, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[730255]: 983ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter.cpp:49 CSpxUspRecoEngineAdapter::CSpxUspRecoEngineAdapter
[730255]: 983ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:50 CSpxUspRecoEngineAdapter::CSpxUspRecoEngineAdapter: this=0x0000022292287F80
[730255]: 983ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter.cpp:49 CSpxUspRecoEngineAdapter::CSpxUspRecoEngineAdapter
[730255]: 983ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxUspRecoEngineAdapter' as '806006714'
[12949]: 983ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:464 [00000222924F5DA0]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[730255]: 983ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter.cpp:63 CSpxUspRecoEngineAdapter::Init
[730255]: 983ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:64 CSpxUspRecoEngineAdapter::Init: this=0x0000022292287F80
[12949]: 983ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:483 Received audio chunk: time: 2026-03-31T00:57:09.8675674Z, size:3200.
[12949]: 983ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:497 CSpxAudioStreamSession::ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[12949]: 983ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:167 [00000222923B7CA0] m_bytesTransited = 6400, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[730255]: 983ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=0000022292287FF0; name='CARBON-INTERNAL-DumpAudioToDir'; value=''
[730255]: 983ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter.cpp:63 CSpxUspRecoEngineAdapter::Init
[12949]: 983ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:464 [00000222924F5DA0]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[730255]: 983ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter_retry.cpp:22 CSpxUspRecoEngineAdapterRetry::InitDelegatePtr
[730255]: 983ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:121 CSpxUspRecoEngineAdapter::SetAdapterMode: singleShot=0
[12949]: 983ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:483 Received audio chunk: time: 2026-03-31T00:57:09.8676064Z, size:3200.
[730255]: 983ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter.cpp:236 CSpxUspRecoEngineAdapter::SetFormat
